Error: Line: 12, Position 10: "The required attribute 'ref' is missing." 
Error: Line: 10804, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10815, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10826, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10837, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10848, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10859, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 10870, Position 12: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

Error: Line: 21423, Position 16: "The element 'polyLines' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2' has invalid child element 'positioningSystem' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'. List of possible elements expected: 'coordinates' in namespace 'http://www.railsystemmodel.org/schemas/Common/1.2'." 

